paths,chexpert_labels
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.00orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.01orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.02orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.03orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.04orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 1}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.05orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 1}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.06orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 1}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.07orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.08orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
"/home/michel/data/Text2Image/mimicxr_train_100/_val_e46_generate_text_top0.85r,edit/No acute cardiopulmonary process. Unremarkable chest radiographic examination/rank_0_000000_fr0.0_cr1.09orig.jpg","{'Atelectasis': 0, 'Cardiomegaly': 0, 'Consolidation': 0, 'Edema': 0, 'Enlarged Cardiomediastinum': 0, 'Fracture': 0, 'Lung Lesion': 0, 'Lung Opacity': 0, 'No Finding': 1, 'Pleural Effusion': 0, 'Pleural Other': 0, 'Pneumonia': 0, 'Pneumothorax': 0, 'Support Devices': 0}"
